"Codice regione";"Regione";"Totale Maschi";"Totale Femmine";"Maschi + Femmine"
1;Piemonte;2095058;2216159;4311217
2;Valle d'Aosta;61121;63913;125034
3;Lombardia;4912375;5115227;10027602
4;Trentino-Alto Adige/Südtirol;531506;546563;1078069
5;Veneto;2389717;2489416;4879133
6;Friuli Venezia Giulia;586719;619497;1206216
7;Liguria;730371;794455;1524826
8;Emilia-Romagna;2173781;2290338;4464119
9;Toscana;1784318;1908237;3692555
10;Umbria;419894;450271;870165
11;Marche;735691;776981;1512672
12;Lazio;2779181;2976519;5755700
13;Abruzzo;631743;662198;1293941
14;Molise;147953;152563;300516
15;Campania;2784616;2927527;5712143
16;Puglia;1923532;2029773;3953305
17;Basilicata;272150;281104;553254
18;Calabria;927732;966378;1894110
19;Sicilia;2370942;2504348;4875290
20;Sardegna;791696;819925;1611621